,x,y,z
0,692874.0685402784,317572.54608570505,638.0
1,653587.6928527222,376400.1346337432,1656.0
2,150472.47162869043,164797.6151233893,2671.0
3,728970.6650643062,493595.7774456879,1448.0
4,480044.0031524633,463920.53419807553,1396.0
5,156158.01848601602,43198.393301328644,1168.0
6,125654.39909453475,156555.69567731023,2432.0
7,402071.7674962022,440183.49129066244,1165.0
8,302398.50148598035,391772.390181995,1838.0
9,209162.53569918143,269374.7095621666,2768.0
10,634890.4594803422,489528.3602695605,789.0
11,508841.07048611884,369450.7283397997,1691.0
12,74150.4759023349,206317.76244071405,790.0
13,860734.9580130919,489645.8849255489,511.0
14,175089.50611270493,102712.54300994985,1804.0
15,490391.5611354402,263522.878177342,550.0
16,484502.9934367935,377190.4288936835,1125.0
17,643226.9918313418,480296.922715744,1209.0
18,74909.37766151567,96510.57349502109,661.0
19,296157.14033916115,388590.5237672739,1773.0
20,851794.3049831875,525947.340056031,250.0
21,62059.265258254454,177613.67488916032,2084.0
22,771128.1921440079,479256.65718798526,1632.0
23,125276.69705371087,216363.8329747487,2527.0
24,806052.4337340493,377007.01658979524,398.0
25,71496.34927165037,125116.8851264324,1022.0
26,452516.48515058245,394423.93560206797,2292.0
27,469564.4930847203,437184.8157981625,1255.0
28,842594.5271627288,507995.727318774,421.0
29,382680.9137815963,448340.42075619195,701.0
30,811542.9541971353,432168.0267608203,489.0
31,532600.6220747037,288501.053097534,356.0
32,33617.83135250391,198241.0417931499,849.0
33,164782.2695593704,40527.13192024175,765.0
34,599193.3137848459,411414.03748904075,2542.0
35,705384.805507754,399525.7970980676,1446.0
36,743488.0424358461,394428.7575866906,1817.0
37,401175.12689146906,261287.5892296182,1098.0
38,137302.50937703223,228592.913193997,2717.0
39,209853.43806625128,75661.36271774396,1443.0
40,88209.15234595048,75684.26695707999,724.0
41,540126.3771082812,481591.55768001545,1028.0
42,750777.1691695263,513167.4400395043,739.0
43,357359.58158507553,327646.26422633417,2571.0
44,146657.81206728466,236282.66786784958,2066.0
45,663448.755837569,404219.8493792908,1128.0
46,520633.249748434,329118.61932745203,2255.0
47,797595.6225356839,526705.5377370398,926.0
48,174441.3725037176,119200.47550493572,1276.0
49,700508.9828758072,350745.5999580547,1498.0
50,315121.91000295035,299023.61853226274,1449.0
51,798942.6917698896,430080.94015963376,423.0
52,91349.45350253617,63665.21501509845,1124.0
53,389959.1106377829,383270.1021268517,2685.0
54,715655.0577815343,406360.3277267078,926.0
55,834313.069237303,506474.20947981905,595.0
56,95592.20926743333,242557.40050035994,584.0
57,772551.9379837727,361025.5406813789,722.0
58,564288.2406753744,453757.947768854,738.0
59,408536.11384931876,344137.07198730484,1937.0
60,599105.465987917,421864.1235613404,2268.0
61,477774.67737226543,448335.36905077845,1143.0
62,633423.1829455702,320785.28287218045,524.0
63,825682.6726711385,477894.7647515293,1324.0
64,605911.5437872773,343936.55567669123,923.0
65,473751.78752874007,350278.6223579673,1532.0
66,268662.32082283375,282092.8124737404,1071.0
67,655433.6035716084,482104.64015255217,1038.0
68,78868.2156368469,111707.7633919213,1302.0
69,522502.28605407994,313653.5633005835,2039.0
70,107507.15659049741,47498.50285410229,1404.0
71,178864.39381209115,284635.3269307967,2710.0
72,186388.7848158417,298148.37345602456,2207.0
73,185897.49486957223,244893.79841149691,2432.0
74,541996.1350850286,435409.87887999136,1963.0
75,286263.2140032511,297594.741464898,1489.0
76,122863.19675291498,108390.29409673251,1252.0
77,545590.3208322537,342238.80281697586,2208.0
78,63570.24781055542,171629.83456200827,1452.0
79,665752.3260843917,287362.9331781948,63.0
80,629976.2671831376,420731.6801083423,2110.0
81,409297.33106337074,364656.64994520135,2526.0
82,656656.404384213,429688.9018744463,2146.0
83,765901.6740219786,413991.2203638274,964.0
84,639815.4637590444,316244.7585834302,280.0
85,103341.11882205226,152954.28796041477,2152.0
86,243036.88104087388,81793.69578826614,730.0
87,620628.0478732316,492660.12574021146,881.0
88,732131.0600148649,467531.3878779849,1642.0
89,251510.90582162316,79237.61055085808,335.0
90,669546.2244123945,489484.8136870349,685.0
91,80220.80635923595,182451.4093716964,1208.0
92,580778.8100893465,393396.6742170537,1838.0
93,72708.18620472614,135694.56235241704,1216.0
94,281307.4069914649,377772.0105618676,1530.0
95,139392.9391671312,206295.65550756082,1682.0
